,value,total_seconds,type,date
0,C#,108.293,languages,2020-10-01
3,Rust,2768.17,languages,2020-10-12
4,CMake,2054.23,languages,2020-10-12
5,YAML,1111.350759,languages,2020-10-12
6,C++,741.047,languages,2020-10-12
7,TOML,623.161,languages,2020-10-12
8,Other,378.135,languages,2020-10-12
9,C,79.726,languages,2020-10-12
10,Git Config,52.629,languages,2020-10-12
11,Text,0.002,languages,2020-10-12
12,Makefile,0.001,languages,2020-10-12
19,Rust,3933.147453,languages,2020-10-26
20,C++,675.762547,languages,2020-10-26
21,HTML,432.125291,languages,2020-10-26
22,JavaScript,266.545952,languages,2020-10-26
23,Markdown,160.309098,languages,2020-10-26
24,Bash,3.919368,languages,2020-10-26
29,C#,4530.756,languages,2020-10-08
30,Markdown,1646.237,languages,2020-10-08
31,YAML,1523.492,languages,2020-10-08
32,Other,218.842,languages,2020-10-08
37,Rust,27612.741751,languages,2020-10-20
38,C++,284.143249,languages,2020-10-20
39,TOML,273.034,languages,2020-10-20
40,Makefile,267.958,languages,2020-10-20
41,C,5.611,languages,2020-10-20
42,Git Config,1.974,languages,2020-10-20
43,Other,0.654,languages,2020-10-20
44,Python,0.448,languages,2020-10-20
49,C#,8230.529,languages,2020-10-02
50,YAML,1229.28,languages,2020-10-02
51,Other,1057.543,languages,2020-10-02
52,Markdown,501.028,languages,2020-10-02
53,JSON,27.223,languages,2020-10-02
57,C#,12132.775,languages,2020-10-06
58,YAML,607.909,languages,2020-10-06
59,Other,182.863,languages,2020-10-06
60,Markdown,5.623,languages,2020-10-06
63,XML,0.0,languages,2020-10-29
64,C#,0.0,languages,2020-10-29
69,C#,14269.224511,languages,2020-10-23
70,Other,2514.299489,languages,2020-10-23
71,Markdown,646.621,languages,2020-10-23
80,Rust,9230.357,languages,2020-10-18
81,Markdown,1573.689,languages,2020-10-18
82,TOML,50.806,languages,2020-10-18
85,C#,5528.777,languages,2020-10-27
86,Other,1446.325,languages,2020-10-27
87,Protocol Buffer,357.354,languages,2020-10-27
88,YAML,190.523,languages,2020-10-27
89,XML,59.993,languages,2020-10-27
90,Markdown,57.839,languages,2020-10-27
91,Git Config,1.85,languages,2020-10-27
97,Rust,6139.701,languages,2020-10-16
98,C++,136.075,languages,2020-10-16
99,TOML,68.06,languages,2020-10-16
100,Markdown,31.37,languages,2020-10-16
105,Rust,8932.116,languages,2020-10-19
106,Markdown,46.271,languages,2020-10-19
110,C#,2146.686,languages,2020-10-05
111,Markdown,182.56,languages,2020-10-05
112,Bash,0.0,languages,2020-10-05
117,C#,2464.209,languages,2020-10-09
118,Markdown,1598.337,languages,2020-10-09
119,JSON,1130.062,languages,2020-10-09
120,Other,148.814345,languages,2020-10-09
121,YAML,2.198,languages,2020-10-09
122,XML,0.449,languages,2020-10-09
123,Git Config,0.001,languages,2020-10-09
129,Rust,18481.337371,languages,2020-10-15
130,C++,1103.690449,languages,2020-10-15
131,Markdown,251.552,languages,2020-10-15
132,CMake,86.507,languages,2020-10-15
133,TOML,62.700169,languages,2020-10-15
134,Git Config,19.93,languages,2020-10-15
135,Python,0.439,languages,2020-10-15
136,C,0.415,languages,2020-10-15
145,Other,951.517489,languages,2020-10-22
146,Nix,158.53542,languages,2020-10-22
147,Rust,23.544,languages,2020-10-22
153,Rust,9078.107,languages,2020-10-17
154,Markdown,506.017,languages,2020-10-17
155,TOML,430.507,languages,2020-10-17
156,Git Config,5.133,languages,2020-10-17
157,Git,3.563,languages,2020-10-17
161,JSON,1178.917,languages,2020-10-28
162,Other,982.796129,languages,2020-10-28
163,C#,404.747,languages,2020-10-28
164,Protocol Buffer,117.389,languages,2020-10-28
165,Markdown,112.54,languages,2020-10-28
166,YAML,76.181214,languages,2020-10-28
167,Docker,3.662429,languages,2020-10-28
168,XML,1.061,languages,2020-10-28
174,Rust,188.799,languages,2020-10-21
177,C#,6401.529,languages,2020-10-07
178,Markdown,270.939,languages,2020-10-07
179,XML,96.474,languages,2020-10-07
180,Other,0.251,languages,2020-10-07
181,JSON,0.225,languages,2020-10-07
182,YAML,0.141,languages,2020-10-07
185,Rust,20912.898275,languages,2020-10-13
186,TOML,938.669,languages,2020-10-13
187,C++,708.569,languages,2020-10-13
188,Git Config,687.327,languages,2020-10-13
189,Other,497.246473,languages,2020-10-13
190,Markdown,238.008,languages,2020-10-13
191,Git,218.137152,languages,2020-10-13
192,CMake,73.037,languages,2020-10-13
193,C,70.603,languages,2020-10-13
194,D,18.287,languages,2020-10-13
195,JSON,0.008,languages,2020-10-13
203,Rust,4956.373846,languages,2020-10-30
204,C++,732.854359,languages,2020-10-30
205,YAML,667.067147,languages,2020-10-30
206,TOML,93.171,languages,2020-10-30
207,Other,13.601062,languages,2020-10-30
208,C,3.605733,languages,2020-10-30
214,Rust,21190.940006,languages,2020-10-14
215,TOML,3759.971869,languages,2020-10-14
216,CMake,894.88091,languages,2020-10-14
217,Other,701.070221,languages,2020-10-14
218,Git Config,138.461,languages,2020-10-14
219,C++,105.491994,languages,2020-10-14
220,C,17.371,languages,2020-10-14
221,Objective-C,0.165,languages,2020-10-14
229,Other,0.0,languages,2020-05-27
233,Other,1751.684,languages,2020-05-28
234,Markdown,474.368504,languages,2020-05-28
235,XML,379.297,languages,2020-05-28
236,YAML,349.977,languages,2020-05-28
237,C++,10.845,languages,2020-05-28
238,C,0.38,languages,2020-05-28
243,Python,31531.252355,languages,2020-05-01
244,Markdown,15078.883,languages,2020-05-01
245,Other,2934.530186,languages,2020-05-01
246,CSV,675.292459,languages,2020-05-01
247,YAML,56.388,languages,2020-05-01
248,Git Config,25.681,languages,2020-05-01
249,Text,8.99,languages,2020-05-01
250,Bash,0.735,languages,2020-05-01
255,C++,28745.4025,languages,2020-05-15
256,Markdown,3785.323232,languages,2020-05-15
257,Python,3342.961075,languages,2020-05-15
258,CMake,822.009,languages,2020-05-15
259,C,294.394,languages,2020-05-15
260,Objective-C,65.089,languages,2020-05-15
261,Git Config,40.268,languages,2020-05-15
262,CSV,17.768013,languages,2020-05-15
263,Other,14.059,languages,2020-05-15
264,Text,3.679226,languages,2020-05-15
265,JSON,1.390806,languages,2020-05-15
274,C++,15670.442,languages,2020-05-09
275,Markdown,1051.393,languages,2020-05-09
276,CMake,270.164,languages,2020-05-09
277,C,223.114,languages,2020-05-09
280,C++,8218.242,languages,2020-05-08
281,Markdown,8000.910844,languages,2020-05-08
282,Text,7149.782,languages,2020-05-08
283,C,2356.724,languages,2020-05-08
284,Python,1257.391,languages,2020-05-08
285,CMake,533.018,languages,2020-05-08
286,YAML,242.247,languages,2020-05-08
287,Git Config,187.528,languages,2020-05-08
288,Other,146.309,languages,2020-05-08
289,Objective-C,4.74,languages,2020-05-08
299,C#,7863.729,languages,2020-05-04
300,TeX,1847.332496,languages,2020-05-04
301,Markdown,542.577572,languages,2020-05-04
302,OpenEdge ABL,260.447374,languages,2020-05-04
303,Git Config,230.233814,languages,2020-05-04
304,Other,224.353371,languages,2020-05-04
305,C++,136.608,languages,2020-05-04
306,BibTeX,36.855204,languages,2020-05-04
307,Text,15.465,languages,2020-05-04
315,Text,929.909693,languages,2020-05-18
316,C#,25.274,languages,2020-05-18
317,Other,7.299026,languages,2020-05-18
318,Markdown,2.315,languages,2020-05-18
324,Markdown,9268.84857,languages,2020-05-14
325,C++,6322.985522,languages,2020-05-14
326,SQL,3047.446,languages,2020-05-14
327,Other,622.837,languages,2020-05-14
328,C#,94.364,languages,2020-05-14
329,Git Config,93.105,languages,2020-05-14
330,CMake,0.0,languages,2020-05-14
341,C++,26154.262357,languages,2020-05-11
342,C#,3762.677714,languages,2020-05-11
343,YAML,1836.782672,languages,2020-05-11
344,CMake,1429.140182,languages,2020-05-11
345,Other,1268.779828,languages,2020-05-11
346,JSON,608.348614,languages,2020-05-11
347,Markdown,347.817818,languages,2020-05-11
348,Git Config,21.183,languages,2020-05-11
349,C,11.655,languages,2020-05-11
350,Protocol Buffer,8.422,languages,2020-05-11
351,XML,3.22,languages,2020-05-11
352,Docker,2.77,languages,2020-05-11
364,C#,18034.971786,languages,2020-05-05
365,Markdown,4481.049,languages,2020-05-05
366,Other,1890.199243,languages,2020-05-05
367,YAML,1445.643837,languages,2020-05-05
368,SQL,1215.998,languages,2020-05-05
369,Python,842.644597,languages,2020-05-05
370,Protocol Buffer,539.129,languages,2020-05-05
371,Text,238.802747,languages,2020-05-05
372,XML,47.013,languages,2020-05-05
373,JSON,20.058,languages,2020-05-05
374,TeX,13.574267,languages,2020-05-05
375,Docker,5.851,languages,2020-05-05
376,BibTeX,3.036712,languages,2020-05-05
388,YAML,5984.565,languages,2020-05-29
389,Other,4257.779,languages,2020-05-29
390,Markdown,1956.257413,languages,2020-05-29
391,XML,1392.47,languages,2020-05-29
392,Text,174.449932,languages,2020-05-29
393,CMake,50.577,languages,2020-05-29
394,C,47.803,languages,2020-05-29
395,Bash,23.775,languages,2020-05-29
396,C++,16.963,languages,2020-05-29
397,Python,3.841,languages,2020-05-29
398,Docker,0.658,languages,2020-05-29
399,Git Config,0.376,languages,2020-05-29
404,C++,7430.681,languages,2020-05-23
405,Other,3836.315517,languages,2020-05-23
406,Markdown,948.292,languages,2020-05-23
407,XML,230.228,languages,2020-05-23
408,CMake,128.544,languages,2020-05-23
409,C,93.726,languages,2020-05-23
415,Markdown,12232.224143,languages,2020-05-21
416,Other,6862.740931,languages,2020-05-21
417,Bash,4260.311742,languages,2020-05-21
418,Docker,1592.559023,languages,2020-05-21
419,CMake,445.859326,languages,2020-05-21
420,Git Config,336.694151,languages,2020-05-21
421,C++,304.583196,languages,2020-05-21
422,XML,44.459,languages,2020-05-21
423,Text,8.826731,languages,2020-05-21
430,Other,4174.392843,languages,2020-05-25
431,XML,1315.162698,languages,2020-05-25
432,YAML,970.618,languages,2020-05-25
433,CMake,517.241059,languages,2020-05-25
434,Git,403.420637,languages,2020-05-25
435,Markdown,275.548,languages,2020-05-25
436,Git Config,85.68467,languages,2020-05-25
437,C++,6.249,languages,2020-05-25
438,Python,0.241,languages,2020-05-25
439,Docker,0.221,languages,2020-05-25
440,Objective-C,0.116,languages,2020-05-25
447,C#,12592.740701,languages,2020-05-20
448,Markdown,1688.647967,languages,2020-05-20
449,Other,107.267,languages,2020-05-20
454,C++,6396.214261,languages,2020-05-22
455,Other,6229.474314,languages,2020-05-22
456,Markdown,3259.710995,languages,2020-05-22
457,XML,1629.532012,languages,2020-05-22
458,CMake,939.947226,languages,2020-05-22
459,Makefile,444.486,languages,2020-05-22
460,Git Config,256.089947,languages,2020-05-22
461,C,178.275,languages,2020-05-22
462,Docker,46.461184,languages,2020-05-22
463,Text,34.164,languages,2020-05-22
464,Bash,24.866081,languages,2020-05-22
465,Python,5.009,languages,2020-05-22
466,Objective-C,4.526,languages,2020-05-22
475,Markdown,9925.678896,languages,2020-05-02
476,Python,6997.390012,languages,2020-05-02
477,C++,1635.859,languages,2020-05-02
478,Text,960.258,languages,2020-05-02
479,Git Config,55.505,languages,2020-05-02
480,CMake,32.944,languages,2020-05-02
481,Other,30.023403,languages,2020-05-02
482,C,0.189,languages,2020-05-02
491,Other,4559.497901,languages,2020-05-26
492,YAML,1903.075,languages,2020-05-26
493,Markdown,397.33442,languages,2020-05-26
494,XML,278.103421,languages,2020-05-26
495,C++,1.078,languages,2020-05-26
496,Docker,0.235,languages,2020-05-26
497,C,0.095,languages,2020-05-26
502,Markdown,6915.97,languages,2020-05-07
503,C++,4949.402168,languages,2020-05-07
504,Python,1664.214414,languages,2020-05-07
505,Text,1252.252546,languages,2020-05-07
506,YAML,88.486872,languages,2020-05-07
507,C,5.861,languages,2020-05-07
513,C#,5266.007,languages,2020-05-06
514,Markdown,4588.56033,languages,2020-05-06
515,Other,2256.87251,languages,2020-05-06
516,Protocol Buffer,1026.487,languages,2020-05-06
517,C++,549.602,languages,2020-05-06
518,Git Config,56.207,languages,2020-05-06
519,Text,50.358,languages,2020-05-06
520,SQL,23.745,languages,2020-05-06
521,XML,10.088,languages,2020-05-06
522,Python,8.66986,languages,2020-05-06
523,JSON,4.348504,languages,2020-05-06
524,YAML,0.004,languages,2020-05-06
539,Markdown,254.624595,languages,2020-05-16
540,C++,103.816,languages,2020-05-16
541,Python,51.369484,languages,2020-05-16
547,C++,16973.896425,languages,2020-05-03
548,Text,5769.637283,languages,2020-05-03
549,Markdown,4707.269628,languages,2020-05-03
550,Python,1427.262068,languages,2020-05-03
551,TeX,62.702,languages,2020-05-03
552,YAML,36.88,languages,2020-05-03
553,Git Config,22.197,languages,2020-05-03
554,BibTeX,20.744,languages,2020-05-03
555,C,0.224,languages,2020-05-03
562,C#,13436.844894,languages,2020-05-12
563,Markdown,11450.009846,languages,2020-05-12
564,C++,9989.100696,languages,2020-05-12
565,YAML,1379.184425,languages,2020-05-12
566,Other,1324.921258,languages,2020-05-12
567,Git Config,466.855423,languages,2020-05-12
568,Diff,283.957115,languages,2020-05-12
569,SQL,215.66,languages,2020-05-12
570,CSV,207.888,languages,2020-05-12
571,XML,53.919,languages,2020-05-12
572,Protocol Buffer,48.989,languages,2020-05-12
573,CMake,5.201498,languages,2020-05-12
587,C++,7567.409,languages,2020-05-10
588,Markdown,232.069,languages,2020-05-10
589,CMake,52.196,languages,2020-05-10
590,C,9.667,languages,2020-05-10
593,C#,23219.93495,languages,2020-05-19
594,JSON,1002.516256,languages,2020-05-19
595,Other,671.404794,languages,2020-05-19
596,Go,17.582,languages,2020-05-19
597,Markdown,0.0,languages,2020-05-19
604,C++,12720.664352,languages,2020-05-13
605,Markdown,1747.943648,languages,2020-05-13
606,C#,40.134,languages,2020-05-13
607,CMake,22.356,languages,2020-05-13
608,Other,21.565,languages,2020-05-13
609,INI,4.067,languages,2020-05-13
610,Objective-C,3.786,languages,2020-05-13
611,Text,3.117968,languages,2020-05-13
612,C,1.645,languages,2020-05-13
613,Python,0.0,languages,2020-05-13
622,C#,6536.905,languages,2020-01-14
623,YAML,423.565,languages,2020-01-14
624,Markdown,187.281,languages,2020-01-14
625,Other,185.864,languages,2020-01-14
626,Text,100.33944,languages,2020-01-14
627,JSON,3.470599,languages,2020-01-14
635,Makefile,1006.747595,languages,2020-01-29
636,Other,496.327183,languages,2020-01-29
637,Markdown,218.941604,languages,2020-01-29
638,Docker,0.0,languages,2020-01-29
645,Python,9813.390213,languages,2020-01-08
646,C#,6837.593,languages,2020-01-08
647,JSON,1770.949787,languages,2020-01-08
648,YAML,1082.417,languages,2020-01-08
649,Bash,342.809,languages,2020-01-08
650,Markdown,326.544,languages,2020-01-08
651,Git Config,177.715343,languages,2020-01-08
652,Other,0.049,languages,2020-01-08
659,YAML,109.352,languages,2020-01-26
660,Markdown,0.196,languages,2020-01-26
661,Docker,0.0,languages,2020-01-26
666,C#,21352.348,languages,2020-01-17
667,JSON,295.822,languages,2020-01-17
668,YAML,287.873,languages,2020-01-17
669,Other,85.465,languages,2020-01-17
670,SQL,76.284,languages,2020-01-17
674,C#,15614.96,languages,2020-01-20
675,Markdown,295.701,languages,2020-01-20
676,Other,13.746,languages,2020-01-20
677,YAML,12.33,languages,2020-01-20
681,Python,2915.065,languages,2020-01-12
682,Cypher,784.558,languages,2020-01-12
683,Markdown,68.23,languages,2020-01-12
686,C#,11766.218,languages,2020-01-31
687,Markdown,757.948,languages,2020-01-31
688,YAML,722.517,languages,2020-01-31
689,Other,330.463,languages,2020-01-31
695,C#,7350.809,languages,2020-01-09
696,Python,4524.248,languages,2020-01-09
697,Markdown,2013.474,languages,2020-01-09
698,YAML,1370.273,languages,2020-01-09
699,Other,796.095,languages,2020-01-09
700,SQL,341.247,languages,2020-01-09
701,Protocol Buffer,151.182,languages,2020-01-09
702,JSON,34.572,languages,2020-01-09
703,XML,12.794,languages,2020-01-09
710,C#,10461.412,languages,2020-01-15
711,YAML,850.539,languages,2020-01-15
712,Markdown,666.728,languages,2020-01-15
713,Other,359.092,languages,2020-01-15
718,C#,9241.552942,languages,2020-01-16
719,Bash,550.415574,languages,2020-01-16
720,SQL,500.018484,languages,2020-01-16
721,JSON,488.307,languages,2020-01-16
722,Other,347.638,languages,2020-01-16
723,Markdown,343.98,languages,2020-01-16
724,Git Config,58.972,languages,2020-01-16
725,XML,1.483,languages,2020-01-16
732,Groovy,8306.145,languages,2020-01-13
733,C#,7498.571,languages,2020-01-13
734,Markdown,5146.606169,languages,2020-01-13
735,Other,1413.484,languages,2020-01-13
736,YAML,714.163,languages,2020-01-13
737,JSON,712.802831,languages,2020-01-13
738,Python,636.065,languages,2020-01-13
739,Properties,155.17,languages,2020-01-13
740,XML,120.995664,languages,2020-01-13
741,Git Config,8.033,languages,2020-01-13
753,C#,13355.450273,languages,2020-01-18
754,Other,888.029,languages,2020-01-18
755,Text,862.185727,languages,2020-01-18
756,Markdown,282.135,languages,2020-01-18
757,JSON,95.556,languages,2020-01-18
762,CSV,643.294,languages,2020-01-28
763,Python,620.921,languages,2020-01-28
764,Git Config,16.484,languages,2020-01-28
765,JSON,7.745,languages,2020-01-28
766,Markdown,0.034,languages,2020-01-28
769,YAML,2056.743,languages,2020-01-22
770,JSON,1371.438,languages,2020-01-22
771,Bash,903.082,languages,2020-01-22
772,SQL,419.298,languages,2020-01-22
773,Markdown,270.92,languages,2020-01-22
774,C#,146.453,languages,2020-01-22
775,Other,50.034,languages,2020-01-22
776,Docker,4.201,languages,2020-01-22
780,C#,12648.319,languages,2020-01-19
781,Other,1565.51522,languages,2020-01-19
782,Markdown,377.25,languages,2020-01-19
783,YAML,293.084,languages,2020-01-19
784,JSON,166.209,languages,2020-01-19
790,Python,9196.076195,languages,2020-01-07
791,C#,2774.828,languages,2020-01-07
792,JSON,1836.595805,languages,2020-01-07
793,YAML,1352.689,languages,2020-01-07
794,Other,742.6,languages,2020-01-07
795,Markdown,211.12,languages,2020-01-07
796,TypeScript,193.197,languages,2020-01-07
797,Git Config,15.559,languages,2020-01-07
798,HTML,5.33,languages,2020-01-07
799,SCSS,0.882,languages,2020-01-07
806,C#,1618.473,languages,2020-01-03
807,Other,643.795127,languages,2020-01-03
808,Git Config,209.088,languages,2020-01-03
809,YAML,189.88,languages,2020-01-03
810,SQL,88.023,languages,2020-01-03
811,JSON,2.166,languages,2020-01-03
812,Markdown,0.174,languages,2020-01-03
817,C#,9826.252,languages,2020-01-30
818,Other,2824.283,languages,2020-01-30
819,YAML,1864.891,languages,2020-01-30
820,Markdown,542.334,languages,2020-01-30
821,JSON,351.806,languages,2020-01-30
822,Git Config,219.493,languages,2020-01-30
831,C#,3719.33,languages,2020-01-10
832,Markdown,3165.220634,languages,2020-01-10
833,Other,2021.699361,languages,2020-01-10
834,Python,1703.499375,languages,2020-01-10
835,YAML,1563.08905,languages,2020-01-10
836,Properties,121.053208,languages,2020-01-10
837,Groovy,90.580057,languages,2020-01-10
838,Text,0.484315,languages,2020-01-10
846,C#,18791.064,languages,2020-01-06
847,JSON,463.92,languages,2020-01-06
848,YAML,315.895,languages,2020-01-06
849,Docker,225.762,languages,2020-01-06
850,Other,23.277,languages,2020-01-06
851,XML,16.615,languages,2020-01-06
852,Protocol Buffer,14.821,languages,2020-01-06
856,Bash,2512.838381,languages,2020-01-23
857,C#,1997.974,languages,2020-01-23
858,Markdown,388.956,languages,2020-01-23
859,Other,167.054619,languages,2020-01-23
860,SQL,37.654,languages,2020-01-23
861,YAML,25.769,languages,2020-01-23
868,C#,11286.179234,languages,2020-01-05
869,YAML,1666.088374,languages,2020-01-05
870,Other,610.129739,languages,2020-01-05
871,Markdown,372.4,languages,2020-01-05
872,Git Config,7.949,languages,2020-01-05
878,Python,5638.313525,languages,2020-01-11
879,Markdown,4791.045764,languages,2020-01-11
880,Cypher,3735.738779,languages,2020-01-11
881,YAML,3390.540922,languages,2020-01-11
882,Groovy,1790.799469,languages,2020-01-11
883,Properties,1165.184428,languages,2020-01-11
884,Other,724.759581,languages,2020-01-11
885,Docker,463.196024,languages,2020-01-11
886,Text,419.112306,languages,2020-01-11
887,Bash,97.82,languages,2020-01-11
888,JSON,35.544,languages,2020-01-11
889,SQL,26.12,languages,2020-01-11
896,C#,8175.035134,languages,2020-01-24
897,YAML,5844.724964,languages,2020-01-24
898,Other,2833.278635,languages,2020-01-24
899,Markdown,1480.589907,languages,2020-01-24
900,JSON,475.14436,languages,2020-01-24
901,Git Config,10.322,languages,2020-01-24
908,Makefile,3363.238934,languages,2020-01-25
909,Other,2773.694758,languages,2020-01-25
910,Bash,2735.142756,languages,2020-01-25
911,Docker,1977.288976,languages,2020-01-25
912,Markdown,1499.536097,languages,2020-01-25
913,YAML,1013.530565,languages,2020-01-25
914,JSON,119.315136,languages,2020-01-25
915,Git Config,14.862205,languages,2020-01-25
916,C#,2.265,languages,2020-01-25
922,C#,2.951,languages,2020-01-27
925,C#,8085.061,languages,2020-01-21
926,Python,1937.947,languages,2020-01-21
927,Markdown,1597.302,languages,2020-01-21
928,CSV,1347.76,languages,2020-01-21
929,JSON,634.609,languages,2020-01-21
930,Other,202.227,languages,2020-01-21
931,YAML,62.687,languages,2020-01-21
932,Git Config,25.463,languages,2020-01-21
939,YAML,0.003,languages,2020-01-02
940,JSON,0.002,languages,2020-01-02
941,Other,0.001,languages,2020-01-02
942,C#,0.0,languages,2020-01-02
945,TypeScript,792.667,languages,2020-02-12
946,Other,243.416,languages,2020-02-12
947,Markdown,132.71,languages,2020-02-12
948,JSON,78.791,languages,2020-02-12
949,HTML,24.436,languages,2020-02-12
950,CSS,6.924,languages,2020-02-12
951,Git Config,3.624,languages,2020-02-12
952,C#,2.63,languages,2020-02-12
955,C#,5447.302,languages,2020-02-24
956,YAML,2190.765,languages,2020-02-24
957,Markdown,1409.006,languages,2020-02-24
958,Other,659.095,languages,2020-02-24
959,JSON,1.33,languages,2020-02-24
960,Git Config,0.184,languages,2020-02-24
966,C#,17142.138,languages,2020-02-21
967,Markdown,2.913,languages,2020-02-21
970,C#,9346.138,languages,2020-02-05
971,YAML,1029.184,languages,2020-02-05
972,JSON,501.303,languages,2020-02-05
973,Other,297.206839,languages,2020-02-05
974,Markdown,0.006,languages,2020-02-05
982,C#,4018.019,languages,2020-02-06
983,YAML,2471.855,languages,2020-02-06
984,Markdown,1078.122,languages,2020-02-06
985,JSON,917.693,languages,2020-02-06
986,Other,396.763,languages,2020-02-06
993,C#,2410.071,languages,2020-02-01
994,Markdown,793.058,languages,2020-02-01
995,Other,0.106,languages,2020-02-01
998,C#,9736.153,languages,2020-02-18
999,JSON,372.343,languages,2020-02-18
1000,Other,307.898,languages,2020-02-18
1001,Git Config,39.542,languages,2020-02-18
1006,TypeScript,4072.692,languages,2020-02-13
1007,JSON,1182.860943,languages,2020-02-13
1008,C#,732.598575,languages,2020-02-13
1009,Markdown,327.767285,languages,2020-02-13
1010,HTML,257.364,languages,2020-02-13
1011,Other,206.160197,languages,2020-02-13
1012,Git Config,152.108,languages,2020-02-13
1013,CSHTML,15.791,languages,2020-02-13
1014,SCSS,4.554,languages,2020-02-13
1015,YAML,0.0,languages,2020-02-13
1021,YAML,2027.738,languages,2020-02-10
1022,C#,959.159,languages,2020-02-10
1023,Other,569.892,languages,2020-02-10
1024,Markdown,271.269,languages,2020-02-10
1025,Python,220.249,languages,2020-02-10
1026,JSON,2.088,languages,2020-02-10
1033,C#,4497.911,languages,2020-02-19
1034,Other,1922.922,languages,2020-02-19
1035,YAML,1399.249,languages,2020-02-19
1036,Markdown,154.339,languages,2020-02-19
1037,Text,0.633,languages,2020-02-19
1038,JSON,0.166,languages,2020-02-19
1043,C#,14.08,languages,2020-02-03
1044,SQL,0.0,languages,2020-02-03
1048,C#,2278.31,languages,2020-02-28
1049,YAML,768.816,languages,2020-02-28
1050,Markdown,209.538,languages,2020-02-28
1051,Other,9.165,languages,2020-02-28
1055,C#,714.141,languages,2020-02-11
1058,C#,7959.496,languages,2020-02-20
1059,Markdown,464.226,languages,2020-02-20
1060,Other,154.029,languages,2020-02-20
1064,XML,1279.417,languages,2020-02-14
1065,TypeScript,326.343,languages,2020-02-14
1066,JSON,239.45,languages,2020-02-14
1067,C#,131.965,languages,2020-02-14
1068,HTML,37.87,languages,2020-02-14
1069,Other,37.189,languages,2020-02-14
1074,C#,9115.341,languages,2020-02-04
1075,Markdown,1258.098,languages,2020-02-04
1076,SQL,792.974,languages,2020-02-04
1077,JSON,654.656,languages,2020-02-04
1078,YAML,632.943,languages,2020-02-04
1079,XML,3.574,languages,2020-02-04
1080,Other,1.437,languages,2020-02-04
1085,C#,16047.561,languages,2020-02-09
1086,Other,869.473,languages,2020-02-09
1087,XML,89.5,languages,2020-02-09
1090,C#,1749.472,languages,2020-02-08
1091,Other,2.44,languages,2020-02-08
1092,Markdown,0.967,languages,2020-02-08
1095,C#,9260.165,languages,2020-02-25
1096,YAML,3604.095,languages,2020-02-25
1097,Other,1775.78,languages,2020-02-25
1098,Markdown,241.26,languages,2020-02-25
1104,Other,9069.94531,languages,2020-02-07
1105,YAML,7033.417245,languages,2020-02-07
1106,C#,3431.539066,languages,2020-02-07
1107,Markdown,2490.156965,languages,2020-02-07
1108,JSON,874.55835,languages,2020-02-07
1109,Git Config,185.739,languages,2020-02-07
1120,C#,3177.853,languages,2020-06-22
1121,Other,344.147,languages,2020-06-22
1122,Markdown,193.682,languages,2020-06-22
1123,YAML,193.45,languages,2020-06-22
1124,JSON,32.358,languages,2020-06-22
1125,Rust,11.908,languages,2020-06-22
1126,XML,0.008,languages,2020-06-22
1135,Bash,2706.42402,languages,2020-06-16
1136,YAML,1451.44646,languages,2020-06-16
1137,Markdown,1205.544615,languages,2020-06-16
1138,C#,694.46,languages,2020-06-16
1139,JSON,450.447135,languages,2020-06-16
1140,Other,441.098,languages,2020-06-16
1141,Git Config,33.971,languages,2020-06-16
1148,Python,1238.028049,languages,2020-06-08
1151,Rust,3946.024,languages,2020-06-25
1152,C#,2293.444,languages,2020-06-25
1153,YAML,1877.253559,languages,2020-06-25
1154,Markdown,1703.978097,languages,2020-06-25
1155,TypeScript,1630.878,languages,2020-06-25
1156,HTML,333.28,languages,2020-06-25
1157,Text,206.45524,languages,2020-06-25
1158,Other,104.495,languages,2020-06-25
1159,SCSS,75.484,languages,2020-06-25
1160,JSON,66.557,languages,2020-06-25
1173,Docker,2738.490046,languages,2020-06-03
1174,Bash,2733.965742,languages,2020-06-03
1175,Markdown,2259.783241,languages,2020-06-03
1176,C++,1240.472485,languages,2020-06-03
1177,CMake,206.211634,languages,2020-06-03
1178,Other,183.953701,languages,2020-06-03
1179,Debian Control file,91.425053,languages,2020-06-03
1180,Git Config,66.427,languages,2020-06-03
1186,Rust,5407.915,languages,2020-06-30
1187,Markdown,36.572,languages,2020-06-30
1190,Rust,3566.874,languages,2020-06-15
1191,Python,804.268816,languages,2020-06-15
1192,Git Config,166.785,languages,2020-06-15
1193,TOML,139.073,languages,2020-06-15
1194,Other,6.665701,languages,2020-06-15
1195,Bash,2.693677,languages,2020-06-15
1203,Rust,17071.103,languages,2020-06-28
1204,Markdown,55.656,languages,2020-06-28
1207,C#,502.978812,languages,2020-06-29
1208,Markdown,108.347,languages,2020-06-29
1209,Text,22.023818,languages,2020-06-29
1215,Rust,22459.698,languages,2020-06-20
1216,TOML,317.273,languages,2020-06-20
1217,Markdown,130.648,languages,2020-06-20
1220,Rust,13257.016,languages,2020-06-26
1221,C#,9781.860355,languages,2020-06-26
1222,Text,1026.716519,languages,2020-06-26
1223,Markdown,627.654,languages,2020-06-26
1224,Other,247.273126,languages,2020-06-26
1225,TOML,93.826,languages,2020-06-26
1232,C#,4009.702014,languages,2020-06-27
1233,Markdown,716.475,languages,2020-06-27
1234,Text,557.048491,languages,2020-06-27
1235,Docker,547.515495,languages,2020-06-27
1239,Rust,7873.161272,languages,2020-06-19
1240,C#,5572.444,languages,2020-06-19
